generic,instance1,instance2,test1,test2
Birds fly.,Robins are birds.,Penguins are birds. ,Robins fly.,Penguins fly.
Stars are visible at night. ,Polaris is a star.,The sun is a star.,Polaris is visible at night.,The sun is visible at night. 
Birds build nests in trees.,Cardinals are birds.,Guillemots are birds.,Cardinals build nests in trees.,Guillemots build nests in trees. 
Shoes have laces.,Sneakers are shoes.,Loafers are shoes.,Sneakers have laces.,Loafers have laces.
Books are made of paper.,Hardcover books are books.,Digital books are books.,Hardcover books are made of paper.,Digital books are made of paper.
Fish swim by moving their tail.,A trout is a fish.,A seahorse is a fish.,Trout swim by moving their tail.,Seahorse swim by moving their tail.
Mammals live on land.,A lion is a mammal.,A whale is a mammal.,Lions lives on land.,Whale lives on land.
Amphibians breathe using lungs as adults.,A frog is an amphibian.,A salamander is an amphibian.,Frogs breathe using lungs as adults.,Salamanders breathes using lungs as adults.
Insects have six legs.,An ant is an insect.,A praying mantis is an insect.,Ants have six legs.,Praying mantis have six legs.
Cars use gasoline.,A sedan is a car.,A Tesla is a car.,Sedans use gasoline.,Teslas use gasoline.
Flowers bloom in the spring.,A tulip is a flower.,A chrysanthemum is a flower.,Tulips bloom in the spring.,Chrysanthemum blooms in the spring.
Reptiles lay eggs.,A snake is a reptile.,A boa constrictor is a reptile.,Snakes lays eggs.,Boa constrictors lays eggs.
Trees shed their leaves in the fall.,An oak is a tree.,A pine is a tree.,Oaks shed their leaves in the fall.,Pines shed their leaves in the fall.
Planets are mainly rocky.,Mars is a planet.,Jupiter is a planet.,Mars is mainly rocky.,Jupiter is mainly rocky.
Spiders catch prey in a web.,A garden spider is a spider.,A tarantula is a spider.,Garden spiders catches prey in a web.,Tarantulas catches prey in a web.
Rivers flow into the ocean.,The Nile is a river.,The Okavango is a river.,The Nile flows into the ocean.,The Okavango flows into the ocean.
Coaches train sports teams.,Football coaches are coaches.,Voice coaches are coaches.,Football coaches train sports teams.,Voice coaches train sports teams.
Sprinters have two legs.,Usain Bolt is a sprinter.,Oscar Pistorius is a sprinter.,Usain Bolt has two legs.,Oscar Pistorius has two legs.
Soup is served hot.,Chicken soup is a soup.,Gazpacho is a soup.,Chicken soup is served hot.,Gazpacho is served hot.
Adults can legally vote.,A 40-year-old citizen is an adult.,A 17-year-old citizen is an adult.,40-year-old citizen can legally vote.,17-year-old citizen can legally vote.
Buildings have multiple stories.,A skyscraper is a building.,A bungalow is a building.,Skyscrapers have multiple stories.,Bungalows have multiple stories.
Programming languages use semicolons to end statements.,C++ is a programming language.,Python is a programming language.,C++ uses semicolons to end statements.,Python uses semicolons to end statements.
Cities are densely populated.,New York City is a city.,Juneau is a city.,New York City is densely populated.,Juneau is densely populated.
Inventions are usually complex.,The smartphone is an invention.,The paperclip is an invention.,Smartphone is usually complex.,Paperclip is usually complex.
Tools are used to build things.,A hammer is a tool.,A ruler is a tool.,Hammer is used to build things.,Ruler is used to build things.
Professions require formal certification.,A doctor is a profession.,An artist is a profession.,Doctor requires formal certification.,Artist requires formal certification.
Liquids flow downhill.,Water is a liquid.,Mercury is a liquid.,Water flows downhill.,Mercury flows downhill.
Planets orbit the sun.,Earth is a planet.,Pluto is a planet.,Earth orbits the sun.,Pluto orbits the sun.
